LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1032513.315052,1032513.315054,1760462443.127934,125434.000,17621,2,AY,1,100,0.075
1032513.355053,1032513.355054,1760462443.167935,125474.000,17635,3,AY,1,100,0.077
1032513.395053,1032513.395055,1760462443.207936,125514.000,17635,3,AY,1,100,0.076
1032513.435054,1032513.435056,1760462443.247936,125554.000,17635,3,AY,1,100,0.081
1032513.475054,1032513.475056,1760462443.287937,125594.000,17654,2,AY,1,100,0.075
1032513.515055,1032513.515057,1760462443.327938,125634.000,17654,2,AY,1,100,0.081
1032513.555056,1032513.555057,1760462443.367938,125674.000,17669,3,AY,1,100,0.076
1032513.595056,1032513.595058,1760462443.407939,125714.000,17669,3,AY,1,100,0.078
1032513.635057,1032513.635058,1760462443.447940,125754.000,17669,3,AY,1,100,0.082
1032513.675057,1032513.675059,1760462443.487940,125794.000,17685,2,AY,1,100,0.076
1032513.715058,1032513.715060,1760462443.527941,125834.000,17685,2,AY,1,100,0.077
1032513.755059,1032513.755060,1760462443.567942,125874.000,17699,3,AY,1,100,0.079
1032513.795059,1032513.795061,1760462443.607943,125914.000,17699,3,AY,1,100,0.083
1032513.835060,1032513.835061,1760462443.647943,125954.000,17699,3,AY,1,100,0.078
1032513.875060,1032513.875062,1760462443.687944,125994.000,17718,3,AY,1,100,0.078
1032513.915061,1032513.915063,1760462443.727945,126034.000,17718,3,AY,1,100,0.080
1032513.955062,1032513.955063,1760462443.767945,126074.000,17718,3,AY,1,100,0.073
1032513.995062,1032513.995064,1760462443.807946,126114.000,17735,2,AY,1,100,0.081
1032514.035063,1032514.035064,1760462443.847947,126154.000,17735,2,AY,1,100,0.077
1032514.075063,1032514.075065,1760462443.887947,126194.000,17751,3,AY,1,100,0.078
1032514.115064,1032514.115065,1760462443.927948,126234.000,17751,3,AY,1,100,0.078
1032514.155064,1032514.155066,1760462443.967949,126274.000,17751,3,AY,1,100,0.078
1032514.195065,1032514.195067,1760462444.007949,126314.000,17766,2,AY,1,100,0.078
1032514.235066,1032514.235067,1760462444.047950,126354.000,17766,2,AY,1,100,0.078
1032514.275066,1032514.275068,1760462444.087951,126394.000,17784,3,AY,1,100,0.073
1032514.315067,1032514.315068,1760462444.127951,126434.000,17784,3,AY,1,100,0.077
1032514.355067,1032514.355069,1760462444.167952,126474.000,17784,3,AY,1,100,0.075
1032514.401568,1032514.401570,1760462444.214453,126520.500,17799,2,AY,1,100,0.082
1032514.448069,1032514.448070,1760462444.260954,126567.000,17799,2,AY,1,100,0.074
1032514.488069,1032514.488071,1760462444.300954,126607.000,17816,2,AY,1,100,0.077
1032514.528070,1032514.528072,1760462444.340955,126647.000,17816,2,AY,1,100,0.074
1032514.568071,1032514.568072,1760462444.380956,126687.000,17833,3,AY,1,100,0.080
1032514.608071,1032514.608073,1760462444.420956,126727.000,17833,3,AY,1,100,0.074
1032514.648072,1032514.648073,1760462444.460957,126767.000,17833,3,AY,1,100,0.079
1032514.688072,1032514.688074,1760462444.500958,126807.000,17848,3,AY,1,100,0.074
1032514.728073,1032514.728074,1760462444.540958,126847.000,17848,3,AY,1,100,0.077
1032514.768073,1032514.768075,1760462444.580959,126887.000,17848,3,AY,1,100,0.077
1032514.808074,1032514.808076,1760462444.620960,126927.000,17863,2,AY,1,100,0.076
1032514.848075,1032514.848076,1760462444.660960,126967.000,17863,2,AY,1,100,0.076
1032514.888075,1032514.888077,1760462444.700961,127007.000,17882,3,AY,1,100,0.069
1032514.928076,1032514.928077,1760462444.740962,127047.000,17882,3,AY,1,100,0.079
1032514.968076,1032514.968078,1760462444.780962,127087.000,17882,3,AY,1,100,0.071
1032515.008577,1032515.008579,1760462444.821463,127127.500,17897,2,AY,1,100,0.076
1032515.049078,1032515.049079,1760462444.861964,127168.000,17897,2,AY,1,100,0.070
1032515.089078,1032515.089080,1760462444.901965,127208.000,17914,3,AY,1,100,0.077
1032515.129079,1032515.129080,1760462444.941965,127248.000,17914,3,AY,1,100,0.072
1032515.169079,1032515.169081,1760462444.981966,127288.000,17914,3,AY,1,100,0.074
1032515.208580,1032515.208581,1760462445.021466,127327.500,17930,2,AY,1,100,0.073
1032515.248081,1032515.248082,1760462445.060967,127367.000,17930,2,AY,1,100,0.070
1032515.288081,1032515.288083,1760462445.100968,127407.000,17946,3,AY,1,100,0.073
1032515.328082,1032515.328083,1760462445.140969,127447.000,17946,3,AY,1,100,0.075
1032515.368082,1032515.368084,1760462445.180969,127487.000,17946,3,AY,1,100,0.068
1032515.408083,1032515.408084,1760462445.220970,127527.000,17961,2,AY,1,100,0.070
1032515.448083,1032515.448085,1760462445.260971,127567.000,17961,2,AY,1,100,0.075
1032515.488084,1032515.488086,1760462445.300971,127607.000,17977,3,AY,1,100,0.071
1032515.528085,1032515.528086,1760462445.340972,127647.000,17977,3,AY,1,100,0.076
1032515.568085,1032515.568087,1760462445.380973,127687.000,17977,3,AY,1,100,0.075
1032515.615086,1032515.615087,1760462445.427974,127734.000,17992,2,AY,1,100,0.074
1032515.662087,1032515.662088,1760462445.474974,127781.000,17992,2,AY,1,100,0.078
1032515.702087,1032515.702089,1760462445.514975,127821.000,18010,3,AY,1,100,0.076
1032515.742088,1032515.742089,1760462445.554976,127861.000,18010,3,AY,1,100,0.072
1032515.782088,1032515.782090,1760462445.594976,127901.000,18010,3,AY,1,100,0.079
1032515.822089,1032515.822090,1760462445.634977,127941.000,18026,2,AY,1,100,0.069
1032515.862090,1032515.862091,1760462445.674978,127981.000,18026,2,AY,1,100,0.078
1032515.902090,1032515.902092,1760462445.714978,128021.000,18041,3,AY,1,100,0.074
1032515.942091,1032515.942092,1760462445.754979,128061.000,18041,3,AY,1,100,0.075
1032515.982091,1032515.982093,1760462445.794980,128101.000,18041,3,AY,1,100,0.072
1032516.022092,1032516.022093,1760462445.834980,128141.000,18056,2,AY,1,100,0.083
1032516.062092,1032516.062094,1760462445.874981,128181.000,18056,2,AY,1,100,0.073
1032516.102093,1032516.102095,1760462445.914982,128221.000,18072,3,AY,1,100,0.081
1032516.142094,1032516.142095,1760462445.954983,128261.000,18072,3,AY,1,100,0.077
1032516.182094,1032516.182096,1760462445.994983,128301.000,18072,3,AY,1,100,0.076
1032516.222095,1032516.222096,1760462446.034984,128341.000,18090,2,AY,1,100,0.077
1032516.262095,1032516.262097,1760462446.074985,128381.000,18090,2,AY,1,100,0.075
1032516.302096,1032516.302097,1760462446.114985,128421.000,18105,3,AY,1,100,0.073
1032516.342097,1032516.342098,1760462446.154986,128461.000,18105,3,AY,1,100,0.075
