LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032550.948332,1032550.948332,1760462480.761304,163066.727,23591,11,PG,1,100,5990
1032550.958060,1032550.958059,1760462480.771032,163076.455,23591,11,PG,1,100,5998
1032550.967787,1032550.967787,1760462480.780759,163086.182,23591,11,PG,1,100,6009
1032550.977515,1032550.977514,1760462480.790486,163095.909,23591,11,PG,1,100,6005
1032550.987242,1032550.987241,1760462480.800214,163105.636,23591,11,PG,1,100,5996
1032550.996970,1032550.996969,1760462480.809941,163115.364,23591,11,PG,1,100,6009
1032551.006697,1032551.006696,1760462480.819669,163125.091,23591,11,PG,1,100,6016
1032551.016424,1032551.016424,1760462480.829396,163134.818,23591,11,PG,1,100,6007
1032551.026152,1032551.026151,1760462480.839124,163144.545,23591,11,PG,1,100,6014
1032551.035879,1032551.035878,1760462480.848851,163154.273,23591,11,PG,1,100,6006
1032551.045607,1032551.045606,1760462480.858578,163164.000,23591,11,PG,1,100,6031
1032551.056207,1032551.056206,1760462480.869179,163174.600,23607,10,PG,1,100,6029
1032551.066807,1032551.066806,1760462480.879779,163185.200,23607,10,PG,1,100,6047
1032551.077407,1032551.077406,1760462480.890379,163195.800,23607,10,PG,1,100,6046
1032551.088007,1032551.088006,1760462480.900979,163206.400,23607,10,PG,1,100,6027
1032551.098607,1032551.098607,1760462480.911579,163217.000,23607,10,PG,1,100,6028
1032551.109208,1032551.109207,1760462480.922180,163227.600,23607,10,PG,1,100,6028
1032551.119808,1032551.119807,1760462480.932780,163238.200,23607,10,PG,1,100,6053
1032551.130408,1032551.130407,1760462480.943380,163248.800,23607,10,PG,1,100,6001
1032551.141008,1032551.141007,1760462480.953980,163259.400,23607,10,PG,1,100,6041
1032551.151608,1032551.151607,1760462480.964580,163270.000,23607,10,PG,1,100,6013
1032551.161008,1032551.161008,1760462480.973980,163279.400,23624,10,PG,1,100,6059
1032551.170408,1032551.170408,1760462480.983381,163288.800,23624,10,PG,1,100,6052
1032551.179809,1032551.179808,1760462480.992781,163298.200,23624,10,PG,1,100,6044
1032551.189209,1032551.189208,1760462481.002181,163307.600,23624,10,PG,1,100,6030
1032551.198609,1032551.198608,1760462481.011581,163317.000,23624,10,PG,1,100,6029
1032551.208009,1032551.208008,1760462481.020981,163326.400,23624,10,PG,1,100,6081
1032551.217409,1032551.217408,1760462481.030381,163335.800,23624,10,PG,1,100,6024
1032551.226809,1032551.226808,1760462481.039782,163345.200,23624,10,PG,1,100,6044
1032551.236209,1032551.236209,1760462481.049182,163354.600,23624,10,PG,1,100,6039
1032551.245610,1032551.245609,1760462481.058582,163364.000,23624,10,PG,1,100,6076
1032551.256210,1032551.256209,1760462481.069182,163374.600,23641,10,PG,1,100,6071
1032551.266810,1032551.266809,1760462481.079782,163385.200,23641,10,PG,1,100,6057
1032551.277410,1032551.277409,1760462481.090383,163395.800,23641,10,PG,1,100,6062
1032551.288010,1032551.288009,1760462481.100983,163406.400,23641,10,PG,1,100,6100
1032551.298610,1032551.298610,1760462481.111583,163417.000,23641,10,PG,1,100,6069
1032551.309210,1032551.309210,1760462481.122183,163427.600,23641,10,PG,1,100,6073
1032551.319811,1032551.319810,1760462481.132783,163438.200,23641,10,PG,1,100,6062
1032551.330411,1032551.330410,1760462481.143383,163448.800,23641,10,PG,1,100,6046
1032551.341011,1032551.341010,1760462481.153984,163459.400,23641,10,PG,1,100,6085
1032551.351611,1032551.351610,1760462481.164584,163470.000,23641,10,PG,1,100,6057
1032551.362056,1032551.362055,1760462481.175028,163480.444,23657,9,PG,1,100,6049
1032551.372500,1032551.372499,1760462481.185473,163490.889,23657,9,PG,1,100,6056
1032551.382945,1032551.382944,1760462481.195918,163501.333,23657,9,PG,1,100,6042
1032551.393390,1032551.393389,1760462481.206362,163511.778,23657,9,PG,1,100,6037
1032551.403834,1032551.403833,1760462481.216807,163522.222,23657,9,PG,1,100,6037
1032551.414279,1032551.414278,1760462481.227252,163532.667,23657,9,PG,1,100,6047
1032551.424723,1032551.424722,1760462481.237696,163543.111,23657,9,PG,1,100,6034
1032551.435168,1032551.435167,1760462481.248141,163553.556,23657,9,PG,1,100,6043
1032551.445612,1032551.445612,1760462481.258585,163564.000,23657,9,PG,1,100,6079
1032551.455249,1032551.455248,1760462481.268222,163573.636,23672,11,PG,1,100,6029
1032551.464886,1032551.464885,1760462481.277858,163583.273,23672,11,PG,1,100,6067
1032551.474522,1032551.474521,1760462481.287495,163592.909,23672,11,PG,1,100,6037
1032551.484159,1032551.484158,1760462481.297132,163602.545,23672,11,PG,1,100,6030
1032551.493795,1032551.493794,1760462481.306768,163612.182,23672,11,PG,1,100,6061
1032551.503432,1032551.503431,1760462481.316405,163621.818,23672,11,PG,1,100,6071
1032551.513068,1032551.513067,1760462481.326041,163631.455,23672,11,PG,1,100,6052
1032551.522705,1032551.522704,1760462481.335678,163641.091,23672,11,PG,1,100,6066
1032551.532341,1032551.532340,1760462481.345314,163650.727,23672,11,PG,1,100,6046
1032551.541978,1032551.541977,1760462481.354951,163660.364,23672,11,PG,1,100,6071
1032551.551614,1032551.551613,1760462481.364587,163670.000,23672,11,PG,1,100,6072
1032551.561341,1032551.561341,1760462481.374315,163679.727,23688,11,PG,1,100,6066
1032551.571069,1032551.571068,1760462481.384042,163689.455,23688,11,PG,1,100,6072
1032551.580796,1032551.580795,1760462481.393770,163699.182,23688,11,PG,1,100,6049
1032551.590524,1032551.590523,1760462481.403497,163708.909,23688,11,PG,1,100,6079
1032551.600251,1032551.600250,1760462481.413224,163718.636,23688,11,PG,1,100,6096
1032551.609979,1032551.609978,1760462481.422952,163728.364,23688,11,PG,1,100,6094
1032551.619706,1032551.619705,1760462481.432679,163738.091,23688,11,PG,1,100,6054
1032551.629433,1032551.629433,1760462481.442407,163747.818,23688,11,PG,1,100,6082
1032551.639161,1032551.639160,1760462481.452134,163757.545,23688,11,PG,1,100,6090
1032551.648888,1032551.648887,1760462481.461862,163767.273,23688,11,PG,1,100,6105
1032551.658616,1032551.658615,1760462481.471589,163777.000,23688,11,PG,1,100,6065
1032551.668949,1032551.668948,1760462481.481922,163787.333,23703,9,PG,1,100,6081
1032551.679283,1032551.679282,1760462481.492256,163797.667,23703,9,PG,1,100,6065
1032551.689616,1032551.689615,1760462481.502589,163808.000,23703,9,PG,1,100,6121
1032551.699950,1032551.699949,1760462481.512923,163818.333,23703,9,PG,1,100,6064
1032551.710283,1032551.710282,1760462481.523257,163828.667,23703,9,PG,1,100,6081
1032551.720617,1032551.720616,1760462481.533590,163839.000,23703,9,PG,1,100,6090
1032551.730950,1032551.730949,1760462481.543924,163849.333,23703,9,PG,1,100,6113
1032551.741284,1032551.741283,1760462481.554257,163859.667,23703,9,PG,1,100,6120
1032551.751617,1032551.751616,1760462481.564590,163870.000,23703,9,PG,1,100,6066
1032551.762317,1032551.762316,1760462481.575291,163880.700,23719,10,PG,1,100,6101
1032551.773017,1032551.773016,1760462481.585991,163891.400,23719,10,PG,1,100,6090
